Indicator Name	Indicator Code	Country Name	Country Code	2000	2010
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Afghanistan	AFG		8.434559687
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Albania	ALB	7.3	3.5
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Algeria	DZA	2.200000704	3.3
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	American Samoa	ASM		
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Andorra	ADO	1.165787064	
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Angola	AGO	3.012076176	3.407643634
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Antigua and Barbuda	ATG	5.100121191	-7.909128488
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Arab World	ARB	4.79112134	4.442096101
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Argentina	ARG	-0.788998922	9.160916925
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Armenia	ARM	5.9	2.096365892
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Aruba	ABW	3.682011554	
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Australia	AUS	3.846166363	2.329710254
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Austria	AUT	3.667588836	2.05092758
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Azerbaijan	AZE	11.1	5
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	"Bahamas, The"	BHS	4.1492464	0.178735484
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Bahrain	BHR	5.29999345	4.5
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Bangladesh	BGD	5.94450677	6.069339864
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Barbados	BRB	2.31177435	
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Belarus	BLR	5.8	7.7
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Belgium	BEL	3.669690996	2.420709331
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Belize	BLZ	13.03876739	2.9
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Benin	BEN	5.8	3
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Bermuda	BMU	9.317155577	-1.899617174
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Bhutan	BTN	6.933024022	11.7685858
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Bolivia	BOL	2.507810988	4.126723356
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Bosnia and Herzegovina	BIH	5.5	0.8
